"publication_id","experiment_id","treatment_id","nsamp","t1","t2","w1","w2","errorw1","errorw2","igr.mu","igr.sd","fr.mu","fr.sd","prey_type","exp_id","experiment","t","main_prey","Rcomma","Temperature","case"
"dom_02",1,1,30,100,110,98.99736,110.8179,36.9393,43.58843,1.114428,1.5,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",105,"medium_shrimp",1,27,2
"dom_02",1,1,30,110,120,110.8179,124.8549,43.58843,46.5435,1.288557,0.1,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",115,"medium_shrimp",1,27,2
"dom_02",2,2,30,0,10,0.074,NA,0.016,NA,12.82418,3.08702838696472,NA,NA,"mysids","dom_02_2_2","dom_02_2",5,"medium_shrimp",1,15,3
"dom_02",2,2,30,10,20,NA,NA,NA,NA,5.472527,0.907472192543012,NA,NA,"mysids","dom_02_2_2","dom_02_2",15,"medium_shrimp",1,15,3
"dom_02",2,2,30,20,30,NA,NA,NA,NA,7.846154,0.941583282594027,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",25,"medium_shrimp",1,15,3
"dom_02",2,2,30,30,40,NA,NA,NA,NA,5.43956,1.01812284490025,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",35,"medium_shrimp",1,15,3
"dom_02",2,2,30,40,50,NA,NA,NA,NA,5.274725,1.29767127984615,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",45,"medium_shrimp",1,15,3
"dom_02",2,2,30,50,60,NA,NA,NA,NA,5.711443,1.18901011749302,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",55,"medium_shrimp",1,15,3
"dom_02",2,2,30,60,70,NA,NA,NA,NA,3.865672,0.729293728868703,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",65,"medium_shrimp",1,15,3
"dom_02",2,2,30,70,80,NA,NA,NA,NA,2.925373,0.563026081094389,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",75,"medium_shrimp",1,15,3
