"publication_id","experiment_id","treatment_id","nsamp","t1","t2","w1","w2","errorw1","errorw2","igr.mu","igr.sd","fr.mu","fr.sd","prey_type","exp_id","experiment","t","main_prey","Rcomma","Temperature","case","z1","z2","Index.t","Index.e","Index.no","Index.food"
"cor_08",1,2,30,27,34,2.852349,3.691275,0.201342,0.436241,2.60177,0.743363,10.9,0.4,"starved_shrimp","cor_08_1_2","cor_08_1",30.5,"starved shrimp",1,18.5,1,0.599999999999999,0.413793103448276,37,3,1,6
"dom_04",1,2,90,1,8,0.096,0.146,0.012,0.034,5.5,0.4,NA,NA,"grass_shrimp","dom_04_1_2","dom_04_1",4.5,"medium_shrimp",1,20,1,0.599999999999999,0.517241379310345,40,7,1,3
"syk_03",1,1,18,11,16,0.2246696,0.3215859,0.1409692,0.1938326,10.73789,6.321594,NA,NA,"grass shrimp","syk_03_1_1","syk_03_1",13.5,"medium_shrimp",1,23,1,0.599999999999999,0.724137931034483,39,26,1,3
"syk_03",2,4,40,1,6,0.07658643,0.09190372,0.03063456,0.0428884,3.684211,2.842106,NA,NA,"grass shrimp","syk_03_2_4","syk_03_2",3.5,"medium_shrimp",1,23,1,0.599999999999999,0.724137931034483,22,16,1,3
"syk_03",2,4,40,16,21,0.3032823,0.5269147,0.214442,0.3798688,11.19298,0.31579,NA,NA,"grass shrimp","syk_03_2_4","syk_03_2",18.5,"medium_shrimp",1,23,1,0.599999999999999,0.724137931034483,22,16,1,3
"syk_13",1,1,50,10,15,NA,NA,NA,NA,10.62651,2.530119,NA,NA,"grass shrimp","syk_13_1_1","syk_13_1",12.5,"medium_shrimp",1,24,1,0.599999999999999,0.793103448275862,6,6,1,3
"syk_03",2,5,40,11,16,0.1715536,0.3185996,0.1041576,0.2021882,12.52632,1.05263,NA,NA,"grass shrimp","syk_03_2_5","syk_03_2",13.5,"medium_shrimp",1,23,1,0.599999999999999,0.724137931034483,43,16,1,3
"kou_99",1,3,6,16,26,1.066558,1.88474,0.3652594,0.569805,5.81072047042125,0.3,21.94,3.59,"mysids;gammarus;shrimps","kou_99_1_3","kou_99_1",21,"shrimp_mix",1,19,4,0.599999999999999,0.448275862068966,44,24,1,4
"dom_02",2,2,30,20,30,NA,NA,NA,NA,7.846154,0.941583282594027,NA,NA,"grass_shrimp","dom_02_2_2","dom_02_2",25,"medium_shrimp",1,15,3,0.599999999999999,0.172413793103448,21,15,1,3
"kou_99",1,2,6,6,16,0.2483766,0.6866883,0.02483766,0.3944806,8.79314868649791,5,27.23,2.96,"mysids;gammarus;shrimps","kou_99_1_2","kou_99_1",11,"shrimp_mix",0.857142857142857,19,4,0.514285714285713,0.448275862068966,45,24,1,4
"dom_04",1,3,90,8,15,0.12,0.136,0.03,0.043,1.8,0.1,NA,NA,"fish_fry","dom_04_1_3","dom_04_1",11.5,"fish",1,20,1,0.599999999999999,0.517241379310345,47,7,1,2
