doi;first_author;year;facility;experiment;treatment;exp_id;included;reason_for_exclusion;t_initial;t_final;Temperature;weaning_prey;weaning_duration;main_prey;prey_status;ration_bw_perc;egg type;photoperiod;volume_l;animal_per_tank;density_animals_liter;notes
https://doi.org/10.1016/S0022-0981(99)00054-4;Koueta N;1999;Marine station of Luc sur-mer (France);1;1;kou_99_1_1;y;;5;45;19;mysids;5;mysids/gammarus/shrimps;live;21;wild spawner laid in lab;;8;4;0.5;
https://doi.org/10.1016/S0022-0981(99)00054-4;Koueta N;1999;Marine station of Luc sur-mer (France);1;2;kou_99_1_2;y;;5;45;19;mysids;5;mysids/gammarus/shrimps;live;30;wild spawner laid in lab;;8;4;0.5;
https://doi.org/10.1016/S0022-0981(99)00054-4;Koueta N;1999;Marine station of Luc sur-mer (France);1;3;kou_99_1_3;y;;5;45;19;mysids;5;mysids/gammarus/shrimps;live;35;wild spawner laid in lab;;8;4;0.5;
https://doi.org/10.1016/S0022-0981(99)00054-4;Koueta N;1999;Marine station of Luc sur-mer (France);1;4;kou_99_1_4;n;frozen prey to post hatclings;5;45;19;mysids;5;mysids;frozen;30;wild spawner laid in lab;;8;4;0.5;
https://doi.org/10.1023/B:AQUI.0000013262.15437.e4;Sykes A;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;1;syk_03_1_1;y;;0;20;23;;;grass shrimp;live;libitum;cultured spawners;natural;1.8;1;0.555555556;F3
https://doi.org/10.1023/B:AQUI.0000013262.15437.e4;Sykes A;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;2;syk_03_1_2;n;high density;0;20;23;;;grass shrimp;live;libitum;cultured spawners;natural;1.8;10;5.555555556;F3
https://doi.org/10.1023/B:AQUI.0000013262.15437.e4;Sykes A;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;3;syk_03_1_3;n;high density;0;20;23;;;grass shrimp;live;libitum;cultured spawners;natural;1.8;30;16.66666667;F3
https://doi.org/10.1023/B:AQUI.0000013262.15437.e4;Sykes A;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);2;4;syk_03_2_4;y;;0;20;23;;;grass shrimp;live;libitum;cultured spawners;natural;5.4;20;3.703703704;F3
https://doi.org/10.1023/B:AQUI.0000013262.15437.e4;Sykes A;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);2;5;syk_03_2_5;y;;0;20;23;;;grass shrimp;live;libitum;cultured spawners;natural;5.4;20;3.703703704;F3
https://doi.org/10.1023/B:AQUI.0000013262.15437.e4;Sykes A;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);3;6;syk_03_3_6;y;;50;78;25;;;grass shrimp;live;20;cultured spawners;natural;10;1;0.1;F4
https://doi.org/10.1023/B:AQUI.0000013262.15437.e4;Sykes A;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);3;7;syk_03_3_7;y;;50;78;25;;;grass shrimp;live;20;cultured spawners;natural;10;5;0.5;F4
https://doi.org/10.1023/B:AQUI.0000013262.15437.e4;Sykes A;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);3;8;syk_03_3_8;y;;50;78;25;;;grass shrimp;live;20;cultured spawners;natural;10;12;1.2;F4
10.1007/s10499-006-9054-1;Sykes A;2006;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;1;syk_06_1_1;y;;0;220;17;grass shrimp;20;grass shrimp;live;libitum;cultured spawners;natural;variable;;<0.5;
10.1007/s10499-006-9054-1;Sykes A;2006;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);2;2;syk_06_2_2;n;contrasting information;0;90;23;grass shrimp;20;grass shrimp;live;libitum;cultured spawners;natural;variable;;<0.5;F3
10.1007/s10499-006-9054-1;Sykes A;2006;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);3;3;syk_06_3_3;y;;0;210;15;grass shrimp;20;grass shrimp;live;libitum;cultured spawners;natural;variable;;<0.5;F4
10.1007/s10499-006-9054-1;Sykes A;2006;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);4;4;syk_06_4_4;y;;0;110;21;grass shrimp;20;grass shrimp;live;libitum;cultured spawners;natural;variable;;<0.5;
10.1007/s10499-006-9054-1;Sykes A;2006;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);5;5;syk_06_5_5;n;contrasting information;0;90;24;grass shrimp;20;grass shrimp;live;libitum;cultured spawners;natural;variable;;<0.5;
