"mean","sd","var","distr"
2.137425605,0.116129675088894,"obs_error[38]","2.14 , 0.12"
1.977425605,0.116129675088894,"obs_error[39]","1.98 , 0.12"
3.10525629,0.129836979028694,"obs_error[40]","3.11 , 0.13"
1.052735708,0.0612057485058701,"obs_error[41]","1.05 , 0.06"
2.012952935,0.111745859386291,"obs_error[42]","2.01 , 0.11"
1.161316225,0.0649184238560391,"obs_error[43]","1.16 , 0.06"
2.88047389,0.167618832898153,"obs_error[44]","2.88 , 0.17"
2.355116285,0.129836981740807,"obs_error[45]","2.36 , 0.13"
2.057425605,0.116129675088894,"obs_error[46]","2.06 , 0.12"
2.018201545,0.118524367416573,"obs_error[47]","2.02 , 0.12"
1.880346225,0.0981475854968873,"obs_error[48]","1.88 , 0.1"
1.97276006,0.106011392655142,"obs_error[49]","1.97 , 0.11"
1.777021295,0.0967746729559746,"obs_error[50]","1.78 , 0.1"
6.61300477,0.25967390048683,"obs_error[51]","6.61 , 0.26"
2.201913395,0.118524421980986,"obs_error[52]","2.2 , 0.12"
2.98293883,0.16761874085219,"obs_error[53]","2.98 , 0.17"
2.975057005,0.167618869106734,"obs_error[54]","2.98 , 0.17"
2.07583595,0.106011349463654,"obs_error[55]","2.08 , 0.11"
